                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.27755,                0.01714,                0.10095,                 1.5189,                    0.1,                    0.1,                    0.1
                      1,                0.24276,                0.05143,                0.23048,                 0.8526,                    0.1,                    0.1,                    0.1
                      2,                0.21532,                0.03429,                 0.1981,                0.92566,                0.09901,                0.09901,                0.09901
                      3,                0.20193,                0.13714,                   0.44,                0.70678,                0.09802,                0.09802,                0.09802
                      4,                0.18157,                0.14286,                0.42095,                0.73077,                0.09703,                0.09703,                0.09703
                      5,                0.16387,                0.06095,                   0.24,                  1.673,                0.09604,                0.09604,                0.09604
                      6,                0.14961,                0.16571,                0.58095,                0.64471,                0.09505,                0.09505,                0.09505
                      7,                0.13103,                 0.4019,                0.82095,                0.42916,                0.09406,                0.09406,                0.09406
                      8,                0.11002,                0.38286,                0.79048,                0.47166,                0.09307,                0.09307,                0.09307
                      9,                0.09698,                0.59429,                0.88571,                0.33761,                0.09208,                0.09208,                0.09208
                     10,                0.07838,                0.57333,                   0.92,                0.30564,                0.09109,                0.09109,                0.09109
                     11,                0.07593,                0.60762,                0.93714,                0.27137,                 0.0901,                 0.0901,                 0.0901
                     12,                0.06237,                    0.6,                0.94667,                0.26477,                0.08911,                0.08911,                0.08911
                     13,                0.05262,                0.53143,                0.91429,                0.34371,                0.08812,                0.08812,                0.08812
                     14,                0.04685,                0.77524,                0.96381,                0.17232,                0.08713,                0.08713,                0.08713
                     15,                0.04041,                0.77143,                0.97143,                0.18278,                0.08614,                0.08614,                0.08614
                     16,                0.03164,                0.71619,                   0.96,                0.21266,                0.08515,                0.08515,                0.08515
                     17,                 0.0267,                0.84952,                0.97524,                 0.1286,                0.08416,                0.08416,                0.08416
                     18,                0.02354,                0.82286,                0.97714,                0.13652,                0.08317,                0.08317,                0.08317
                     19,                0.01905,                0.86095,                0.97714,                0.12698,                0.08218,                0.08218,                0.08218
                     20,                0.01733,                0.83429,                0.97714,                0.12392,                0.08119,                0.08119,                0.08119
                     21,                0.01538,                0.89143,                0.98286,                0.09221,                 0.0802,                 0.0802,                 0.0802
                     22,                0.01401,                 0.8819,                0.97333,                0.10519,                0.07921,                0.07921,                0.07921
                     23,                0.01176,                0.89143,                0.98095,                0.09148,                0.07822,                0.07822,                0.07822
                     24,                0.01111,                 0.8381,                0.97524,                0.12535,                0.07723,                0.07723,                0.07723
                     25,                0.00949,                0.89524,                0.97524,                0.09594,                0.07624,                0.07624,                0.07624
                     26,                0.01008,                0.91429,                0.97714,                0.08249,                0.07525,                0.07525,                0.07525
                     27,                0.00818,                0.91238,                0.97905,                0.08675,                0.07426,                0.07426,                0.07426
                     28,                0.00752,                0.92381,                0.98286,                0.07673,                0.07327,                0.07327,                0.07327
                     29,                0.00604,                0.91238,                0.98095,                0.07836,                0.07228,                0.07228,                0.07228
                     30,                0.00615,                0.92952,                0.97905,                0.06688,                0.07129,                0.07129,                0.07129
                     31,                0.00545,                0.92571,                0.98667,                0.07346,                 0.0703,                 0.0703,                 0.0703
                     32,                0.00525,                0.92952,                0.98667,                 0.0723,                0.06931,                0.06931,                0.06931
                     33,                0.00485,                0.93333,                0.98476,                0.06301,                0.06832,                0.06832,                0.06832
                     34,                0.00501,                0.89905,                0.97905,                0.09564,                0.06733,                0.06733,                0.06733
                     35,                0.00446,                0.92762,                0.98286,                0.08404,                0.06634,                0.06634,                0.06634
                     36,                0.00402,                0.93524,                0.98857,                0.05605,                0.06535,                0.06535,                0.06535
                     37,                0.00338,                 0.9181,                0.98667,                0.07656,                0.06436,                0.06436,                0.06436
                     38,                0.00297,                0.94857,                0.98857,                0.05149,                0.06337,                0.06337,                0.06337
                     39,                0.00322,                0.94667,                0.99048,                0.05814,                0.06238,                0.06238,                0.06238
                     40,                0.00284,                0.94286,                0.98857,                0.06298,                0.06139,                0.06139,                0.06139
                     41,                0.00269,                0.93714,                0.98476,                0.06884,                 0.0604,                 0.0604,                 0.0604
                     42,                0.00271,                0.92381,                0.98667,                0.07415,                0.05941,                0.05941,                0.05941
                     43,                0.00243,                0.94286,                0.98476,                0.06492,                0.05842,                0.05842,                0.05842
                     44,                0.00238,                0.94095,                0.99048,                0.06006,                0.05743,                0.05743,                0.05743
                     45,                0.00233,                 0.9219,                0.98857,                0.06538,                0.05644,                0.05644,                0.05644
                     46,                0.00198,                0.94476,                0.99238,                0.05741,                0.05545,                0.05545,                0.05545
                     47,                0.00165,                0.92952,                0.98667,                0.06299,                0.05446,                0.05446,                0.05446
